"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","351","test_admin_cannot_create_user_with_invalid_data[webkit-new_user_request0]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","543","test_user_can_create_account[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateAccount","create_account_ui_test","",""
"","213","test_deposit[chromium-0.01]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","786","test_transfer_below_minimum[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","193","test_update_profile_bad_name[chromium-John_Smith]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","122","test_create_invalid_user[chromium--pv&2ZRE8n1-USER-username-Username cannot be blank]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","1918","test_transfer_invalid_amount[webkit--1-\u274c Error: Invalid transfer: insufficient funds or invalid accounts]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","1655","test_update_profile_bad_name[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","131","test_deposit_incorrect_balance[chromium-5000.1-Deposit amount exceeds the 5000 limit]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","114","test_deposit_incorrect_balance[chromium-0-Invalid account or amount]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","891","test_transfer_between_users[chromium-0.01]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","579","test_deposit_incorrect_balance[firefox-5000.1-\u274c Please deposit less or equal to 5000$.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","151","test_transfer_with_fraud_check_verification_required[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","1083","test_admin_can_create_user[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","196","test_update_profile_bad_name[chromium-John Smith.]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","1456","test_update_name_in_the_profile[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","577","test_user_can_deposit[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","656","test_admin_can_create_user[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","1331","test_transfer_between_users[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","1222","test_transfer_invalid_amount[firefox--1-\u274c Error: Invalid transfer: insufficient funds or invalid accounts]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","137","test_transfer_with_fraud_check_user_has_no_access_to_other_user_account[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","1891","test_user_can_create_account[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateAccount","create_account_ui_test","",""
"","1625","test_update_name_in_the_profile[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","787","test_transfer_below_balance[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","1664","test_update_profile_bad_name[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","197","test_create_valid_user[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","245","test_deposit_incorrect_balance[chromium--1-\u274c Please enter a valid amount.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","1012","test_transfer_invalid_amount[chromium--1-\u274c Error: Invalid transfer: insufficient funds or invalid accounts]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","120","test_deposit_incorrect_balance[chromium--1-Invalid account or amount]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","126","test_account_not_selected_deposit[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","212","test_deposit[chromium-19.29]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","1245","test_transfer_invalid_amount[firefox-10000.01-\u274c Error: Transfer amount cannot exceed 10000]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","377","test_deposit_incorrect_balance[webkit-5000.1-\u274c Please deposit less or equal to 5000$.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","1958","test_admin_can_login_with_correct_data[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestLoginUser","login_user_ui_test","",""
"","194","test_update_profile_bad_name[chromium-]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","157","test_create_account[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateAccount","create_account_test","",""
"","1748","test_transfer_invalid_amount[webkit-10000.01-\u274c Error: Transfer amount cannot exceed 10000]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","176","test_transfer_with_fraud_check[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","965","test_transfer_below_balance[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","196","test_admin_cannot_create_user_with_invalid_data[chromium-new_user_request0]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","965","test_transfer_over_limit[chromium-10001]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","860","test_user_can_deposit[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","995","test_transfer_below_balance[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","138","test_transfer_with_fraud_check_invalid_amount[chromium-10000.1-Transfer amount cannot exceed 10000]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","466","test_account_not_selected_deposit[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","693","test_deposit_another_user_id[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","872","test_transfer_between_users[chromium-5945.73]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","1540","test_update_profile_bad_name[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","153","test_transfer_with_fraud_check_manual_review[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","200","test_update_profile_bad_name[chromium-JohnSmith]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","243","test_deposit_incorrect_balance[chromium-5000.1-\u274c Please deposit less or equal to 5000$.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","452","test_transfer_empty_form[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","194","test_update_profile_bad_name[chromium-1John Smith]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","119","test_deposit_non_exist_id[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","116","test_deposit_incorrect_balance[chromium-5001-Deposit amount exceeds the 5000 limit]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","1385","test_transfer_between_users[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","930","test_transfer_empty_form[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","146","test_transfer_with_fraud_check_rejected_decision_requires_manual_review[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","998","test_transfer_over_limit[chromium-10000.01]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","94","test_update_name_in_the_profile[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","194","test_login_user[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestLoginUser","login_user_test","",""
"","501","test_user_can_login_with_correct_data[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestLoginUser","login_user_ui_test","",""
"","1113","test_transfer_below_balance[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","909","test_transfer_between_users[chromium-9999.99]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","102","test_create_invalid_user[chromium-Sp-26Hq4Dvv&R-USER-username-Username must be between 3 and 15 characters]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","278","test_admin_cannot_create_user_with_invalid_data[firefox-new_user_request0]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","107","test_create_invalid_user[chromium-@WXOc-#9hgp0ZHG5-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","432","test_deposit_incorrect_balance[webkit--1-\u274c Please enter a valid amount.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","144","test_transfer_with_fraud_check_invalid_amount[chromium-0-Invalid accounts or amount]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","138","test_transfer_with_fraud_check_invalid_amount[chromium--0.01-Invalid accounts or amount]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","1009","test_transfer_invalid_amount[chromium-10000.01-\u274c Error: Transfer amount cannot exceed 10000]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","359","test_user_can_create_account[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateAccount","create_account_ui_test","",""
"","266","test_account_not_selected_deposit[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","102","test_create_invalid_user[chromium-mzJobXsVYjGlkPUS-biBI$274yA-USER-username-Username must be between 3 and 15 characters]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","555","test_transfer_empty_form[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","193","test_login_admin_user[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestLoginUser","login_user_test","",""
"","677","test_user_can_deposit[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","1221","test_admin_can_create_user[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","565","test_deposit_incorrect_balance[firefox--1-\u274c Please enter a valid amount.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","139","test_transfer_with_fraud_check_insufficient_funds[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","763","test_transfer_between_one_users[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","1577","test_update_name_in_the_profile[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","1088","test_transfer_between_users[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","267","test_deposit[chromium-4999.99]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
